ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
985,征征魔力衣馆,morlie8888,315116,female,穿搭,0,45380,7.1w,637.1,6.37,5,55,200,4天17时14分45秒
986,三人行智能锁指纹锁,moorben_smart,295802,male,科技,5,17715,6967,634.8,6.35,4.47,60,11,15天4时33分58秒
987,古星童鞋,gxyx555,2033004,female,穿搭,0,212411,15.7w,631.1,6.31,4.71,27,553,5天14时13分58秒
988,金袋子kk,shenzhenshil36,173294,female,穿搭,0,131695,6.5w,631.2,6.31,4.83,22,129,3天16时31分51秒
989,SumanSoul二姐,sumansoul,7084307,female,体育,11,55171,1.5w,632.1,6.32,4.8,41,2,3天22时4分51秒
990,武汉瑞达电脑diy,v1979758405,215859,male,生活,10,44359,4317,631.9,6.32,4.98,25,133,4天2时48分20秒
991,影儿商城官方旗舰店,YINGERMALL,397334,female,穿搭,0,19753,8562,631.8,6.32,4.79,62,919,12天16时7分6秒
992,彩虹星球安全食材,CaiHongXinQiu,886624,female,生活,10,17197,5.2w,631.8,6.32,5,52,24,17天8时57分57秒
993,汾酒旗舰店,fenjiuqijian,249257,female,美食,7,68037,1.5w,631.7,6.32,4.46,34,53,19天21时15分1秒
994,子曦珠宝,1154717548,186226,female,珠宝,0,25325,4605,629.5,6.3,4.87,38,2476,23天13时17分48秒
995,来吃点好的,2213620307,390159,female,美食,7,339143,46.6w,628.8,6.29,4.87,35,66,10天12时47分17秒
996,哈哈的服装搭配日记,mengmengshop,86944,female,珠宝,0,160582,14.5w,628.6,6.29,4.81,50,3416,7天8时21分7秒
997,杨澜,yanglanshuo,3659384,female,明星,9,498168,2.6w,628,6.28,4.85,2,156,16时14分41秒
998,薇薇的日常,7169874,1238608,female,网红,12,168357,5.2w,627.9,6.28,4.85,12,177,3天7时55分19秒
999,温州倩哥（7月6日新款大上新）,fbq5277,17062,female,穿搭,0,48471,2.8w,627.7,6.28,4.93,28,535,6天3时17分5秒
1000,花姐female装（最近在二花female装号播）,15859108800v,313651,female,穿搭,0,99701,40.2w,627.1,6.27,4.73,89,7770,9天8时7分23秒
1001,阿伟家潮鞋店,mk1122121,865295,male,穿搭,0,53068,6.7w,627.3,6.27,4.18,71,72,1天2时11分16秒
1002,孙晓萌（7.6宠粉专场）,1989823730,613038,female,种草,14,15687,4.5w,627.2,6.27,4.94,31,62,3天22时47分52秒
1003,千寻一起旅行吧,630777721,130585,female,旅行,6,21032,2973,625.8,6.26,4.75,28,9,8天12时14分28秒
1004,泰蜜Tammy,Tammy260035,3210301,female,网红,12,1675608,10.2w,625.4,6.25,4.9,36,146,4天7时50分22秒
1005,铁血缝纫机(直播中）,dy5mb685wrlf,2243308,male,种草,14,318199,2.7w,621.1,6.21,4.95,8,85,21天22时30分6秒
1006,艾俪精品female装,rongjie123,280428,female,穿搭,0,344745,9.7w,623.9,6.24,4.47,37,41,20天23时48分25秒
1007,王耀庆,dymd150qxoth,5657978,male,明星,9,2375930,6.9w,622.7,6.23,4.6,4,138,21时41分12秒
1008,小九玖黛衣官方旗舰店,xj061218,996810,female,穿搭,0,205882,12.0w,621,6.21,4.79,18,1433,4天3时32分55秒
1009,修正官方品牌旗舰店,CBYY0116,323808,female,美妆,8,32212,3.0w,620.8,6.21,4.94,43,47,18天1时55分16秒
1010,老板上班了,DXCM0001,1849019,male,搞笑,2,351900,14.1w,620.7,6.21,4.92,13,168,1天14时57分54秒
1011,心上SKP,xinshangSKP5,70384,female,穿搭,0,4705,583,620.2,6.2,4.81,102,7750,19天10时18分16秒
1012,缅甸砍价王,kanjiawang666,461409,female,珠宝,0,19960,1.6w,620,6.2,4.07,122,14846,20天11时28分32秒
1013,欢太商城,HeyTapMall,220630,female,种草,14,39245,2661,619.9,6.2,4.59,33,80,11天20时24分23秒
1014,暴走的梨形多多【早上8.00直播】,dd001_,229986,female,穿搭,0,192316,6.2w,619.7,6.2,4.82,24,81,1天1时15分16秒
1015,达银佳吴老板,bettersam666,32619,male,珠宝,0,253999,3.4w,619,6.19,5,3,566,1天8分48秒
1016,心上奢侈品,867907731,92607,female,种草,14,2176,354,618.1,6.18,4.81,93,3887,10天5时18分14秒
1017,丽公子服装商行,LiGzi1314,613320,female,穿搭,0,127314,13.6w,617.3,6.17,1.96,43,87,22天5时21分37秒
1018,诗妮歌卫衣工厂,V15966925801,284135,female,穿搭,0,51638,11.2w,615.6,6.16,1.86,28,252,2天22时36分9秒
1019,房子芸定制,2187239283,135014,female,穿搭,0,123319,3.6w,611.3,6.11,5,29,223,4天12时10分28秒
1020,欧姐真丝female装——招主播,970022509,83437,female,穿搭,0,28688,1.8w,613.8,6.14,4.89,36,681,5天17时2分55秒
1021,楚楚君自制female装,CC2019818,223725,female,生活,10,101598,8.9w,613,6.13,4.9,34,620,7天13时13分19秒
1022,达蒙旅游,159207181,51268,female,珠宝,0,26220,7531,612.9,6.13,4.7,36,53,16天14时49分21秒
1023,蜀中桃子姐,mack20120724,22273021,female,美食,7,624895,28.9w,612.5,6.13,5,40,20,6天19时6分17秒
1024,牛丸安口,Nwankou,326782,male,美食,7,32104,3.7w,612.3,6.12,4.98,34,20,12天17时56分18秒
1025,小花名表,hanamingbiao,32936,female,珠宝,0,7874,256,612.2,6.12,4.42,68,751,16天19时33分21秒
1026,嘉嘉JIANG（早9点播）,jiajia526128,117601,female,穿搭,0,153879,5.7w,611.7,6.12,1.69,30,66,5天20时38分36秒
1027,陈浩民,chenhaomin07,4205859,male,明星,9,540271,2.1w,611.6,6.12,4.52,4,115,17时27分12秒
1028,涛总裁～线下课报名中,WSD8608,3681085,male,生活,10,263536,3.7w,611.6,6.12,4.54,4,132,1天14时53分9秒
1029,东倪原创,dongniyuanch,190575,female,穿搭,0,80683,8.8w,611.2,6.11,5,33,958,11天20分
1030,半夏心选【招主播】,dytbzhwtvr41,167538,female,穿搭,0,162273,6.8w,610,6.1,4.17,33,54,4天34分39秒
1031,虎牙姐姐,ma798325,2790179,female,旅行,6,276469,16.6w,609.5,6.1,4.94,24,56,3天6时37分36秒
1032,怡润家居服,huahua0818_,428240,female,穿搭,0,83245,9.2w,609.1,6.09,4.89,26,42,1天1时16分13秒
1033,WU晓娜 （山西实体集合仓）,xn15903518027,22932,female,穿搭,0,37268,2.5w,608.8,6.09,4.97,17,243,2天16时20分17秒
1034,maxrieny旗舰店,MAXRIENY2021,219388,female,穿搭,0,59166,9816,608.2,6.08,4.77,44,675,14天13时54分31秒
1035,小饼干?,Laodaojiejie001,6272161,female,生活,10,657168,11.5w,607.3,6.07,4.7,13,470,2天10时47分26秒
1036,lisaroma,LISAROMA,335474,female,穿搭,0,28804,7697,606,6.06,4.78,48,57,10天16时32分16秒
1037,大力家教学习灯,dlzn888,77617,female,种草,14,52639,9794,605.3,6.05,4.82,11,4,6天18时21分21秒
1038,衣圆圆小艾服装官方账号,zyczhq777,288548,female,穿搭,0,149905,8.3w,605.1,6.05,4.59,34,343,5天9时52分17秒
1039,食乐康美食,Slksp1866,326998,female,美食,7,62585,6.1w,604.5,6.05,4.81,31,21,17天1时51分5秒
1040,木悦轩核雕工厂,muyuexuan888888,69910,male,珠宝,0,16071,6.0w,603.6,6.04,4.58,241,15324,21天4时17分22秒
1041,淘玉达人翡翠珠宝,105805970,725818,female,网红,12,31492,5148,602.4,6.02,4.86,41,4437,21天21时7分1秒
1042,一枝梅爱唱歌??宝妈节10000个大榴莲,AAA199428,3007194,female,网红,12,224969,13.0w,601.9,6.02,4.67,77,334,6天8时10分7秒
1043,金名服饰,kinming007,279556,female,穿搭,0,160779,4.1w,601.8,6.02,4.84,34,50,10天23时51分17秒
1044,悄悄female装优选(今晚8点开播),kefukadayi,73739,female,珠宝,0,116414,2.8w,601,6.01,4.67,27,72,3天9时25分7秒
1045,长腿叔叔,20611071,271296,female,生活,10,84832,12.8w,600.5,6.01,4.46,20,139,1天17时41分10秒
1016,张加衣努力ing,sisishimaishou,296778,female,穿搭,0,172108,10.0w,600.1,6,4.81,26,1522,3天14时28分47秒
1047,Myra小马家定制,79743301,163910,female,穿搭,0,194930,4.3w,598.7,5.99,4.59,21,16,3天10时36分21秒
1048,千奈美内衣旗舰店,qiannaimei1688,162088,female,穿搭,0,115244,7.5w,598.4,5.98,4.92,50,34,5天3时12分36秒
1049,龙金枝??这个月只送不卖,jinzhi6688,1586986,female,生活,10,58930,11.0w,598,5.98,4.74,21,148,2天20时39分28秒
1050,嘉一服饰(早8点 晚6点开播),JY01228,203269,female,网红,12,58483,1.2w,597.9,5.98,4.84,49,284,11天9时3分11秒
1051,OPPO,oppo2333,3312678,male,科技,5,106396,2995,597.7,5.98,4.47,35,70,15天2时8分31秒
1052,Aloooooha精选中古奢品,Aloooooha,77539,female,穿搭,0,11692,595,597.1,5.97,4.99,53,2184,13天18时55分40秒
